from,to,weight
F,RR,1
F,M,1
F,C,1
F,B,2
F,J,2
F,R,2
RR,M,3
RR,F,2
M,RR,3
M,F,2
M,C,2
C,M,3
C,F,3
C,E,3
E,C,3
DS,E,3
DS,B,2
B,J,2
B,F,1
B,DS,2
J,B,2
J,DS,1
J,F,1
J,R,3
R,J,3
R,F,1
