from,to,weight,year
GU,WaPo,2,2014
GU,TyHi,2,2014
WaPo,BG,1,2014
WaPo,ElSa,2,2014
WaPo,WiHo,2,2014
WaPo,DaPh,2,2014
BG,ElSa,2,2014
BG,TyHi,2,2014
ChHa,WiHo,2,2014
ChHa,MiLa,3,2014
ChHa,DaPh,3,2014
ChHa,StHe,2,2014
ChHa,TyHi,3,2014
ChHa,JoHa,3,2014
ElSa,WiHo,3,2014
WiHo,MiLa,3,2014
WiHo,InSa,3,2014
MiLa,DaPh,3,2014
MiLa,StHe,2,2014
MiLa,TyHi,3,2014
MiLa,JoHa,3,2014
DaPh,StHe,2,2014
DaPh,TyHi,3,2014
DaPh,JoHa,3,2014
JaSz,AnMa,3,2014
OR,JoHa,2,2014
TyHi,JoHa,3,2014
